iter	Passed	Remaining
404	8998	2110
405	9022	2088
406	9044	2066
407	9067	2044
408	9089	2022
409	9108	1999
410	9127	1976
411	9151	1954
412	9174	1932
413	9190	1909
414	9212	1886
415	9229	1863
416	9253	1841
417	9274	1819
418	9295	1797
419	9315	1774
420	9332	1751
421	9351	1728
422	9372	1706
423	9395	1684
424	9423	1663
425	9449	1641
426	9474	1619
427	9496	1597
428	9518	1575
429	9537	1552
430	9555	1529
431	9577	1507
432	9595	1484
433	9619	1462
434	9642	1440
435	9660	1418
436	9683	1395
437	9703	1373
438	9721	1350
439	9743	1328
440	9760	1305
441	9783	1283
442	9801	1261
443	9831	1240
444	9858	1218
445	9886	1196
446	9914	1175
447	9934	1153
448	9957	1131
449	9981	1109
450	9999	1086
451	10020	1064
452	10041	1041
453	10059	1019
454	10082	997
455	10100	974
456	10120	952
457	10141	930
458	10161	907
459	10182	885
460	10201	863
461	10219	840
462	10237	818
463	10263	796
464	10292	774
465	10321	753
466	10348	731
467	10371	709
468	10395	687
469	10422	665
470	10445	643
471	10465	620
472	10486	598
473	10507	576
474	10525	553
475	10547	531
476	10566	509
477	10586	487
478	10604	464
479	10624	442
480	10643	420
481	10660	398
482	10689	376
483	10717	354
484	10747	332
485	10772	310
486	10794	288
487	10819	266
488	10847	244
489	10868	221
490	10893	199
491	10916	177
492	10937	155
493	10955	133
494	10977	110
495	10996	88
496	11020	66
497	11041	44
498	11057	22
499	11080	0
