iter	Logloss
0	0.691441261
1	0.691405975
2	0.6914006896
3	0.6915017126
4	0.6913816803
5	0.6911579823
6	0.6909086683
7	0.6905940377
8	0.6903605198
9	0.6900865506
10	0.6897560939
11	0.6894799625
12	0.689274313
13	0.6890141128
14	0.6888407312
15	0.6886254718
16	0.6884538469
17	0.6882962914
18	0.688073149
19	0.6878232794
20	0.6876080951
21	0.6874028961
22	0.6872051446
23	0.6870559225
24	0.6869050638
25	0.6867178831
26	0.6865750425
27	0.6864061054
28	0.6862490153
29	0.6860611439
30	0.6859264716
31	0.6857849975
32	0.6856419017
33	0.6854932352
34	0.685360545
35	0.6852482756
36	0.6851055852
37	0.6850052229
38	0.6849039898
39	0.6847849935
40	0.6846229334
41	0.6845016848
42	0.6843700157
43	0.6842382114
44	0.6841103711
45	0.6839802485
46	0.6838714477
47	0.6837581422
48	0.6836404222
49	0.6835443243
50	0.6834308087
51	0.6833546811
52	0.6832675023
53	0.6831703382
54	0.6830689549
55	0.6829795088
56	0.6828934411
57	0.6828034995
58	0.6827046387
59	0.6826157632
60	0.6825239596
61	0.6824439431
62	0.6823679356
63	0.6822939703
64	0.6822249599
65	0.6821414148
66	0.6820663083
67	0.6819950907
68	0.6819181673
69	0.6818257632
70	0.6817464223
71	0.6816831479
72	0.6816048731
73	0.6815342261
74	0.6814768677
75	0.6814099595
76	0.6813497782
77	0.681290693
78	0.6812303915
79	0.6811821323
80	0.6811126866
81	0.6810555684
82	0.6809998916
83	0.6809362268
84	0.6808652645
85	0.6807951881
86	0.6807466736
87	0.680684225
88	0.6806357406
89	0.6805708144
90	0.6805138013
91	0.6804573889
92	0.6804259318
93	0.680367207
94	0.6803124912
95	0.6802629257
96	0.6802162732
97	0.6801731492
98	0.6801205356
99	0.6800697088
100	0.680012951
101	0.6799558778
102	0.6799031441
103	0.6798611914
104	0.6798082474
105	0.6797598981
106	0.679716564
107	0.6796702568
108	0.6796405866
109	0.6795892042
110	0.6795449691
111	0.6795069504
112	0.6794755384
