iter	Logloss
0	0.6895856163
1	0.6865006733
2	0.6833568056
3	0.6804513437
4	0.6771886949
5	0.6743536406
6	0.6717356031
7	0.6693166765
8	0.6670065321
9	0.6646242143
10	0.6624680287
11	0.6604592742
12	0.658352802
13	0.6566906131
14	0.6554068269
15	0.6537173652
16	0.6524449424
17	0.6510011309
18	0.6496560423
19	0.6482721025
20	0.646947816
21	0.6457831803
22	0.64474237
23	0.6437177606
24	0.6426677462
25	0.6416394801
26	0.6406610919
27	0.6397977898
28	0.6389019633
29	0.638045042
30	0.6372013014
31	0.6366260247
32	0.6358778677
33	0.6351183313
34	0.6344292169
35	0.6338473613
36	0.6333254917
37	0.6325645301
38	0.6320088068
39	0.6313650515
40	0.6307845102
41	0.6305722911
42	0.6300095315
43	0.6295379512
44	0.6290509703
45	0.6284738763
46	0.6279251454
47	0.6275033426
48	0.626997132
49	0.6266620005
50	0.6262979825
51	0.6257501506
52	0.6252609607
53	0.6249077916
54	0.6243720376
55	0.6238983681
56	0.6234917762
57	0.6232582188
58	0.6229230082
59	0.6225907684
60	0.6222568509
61	0.6217762566
62	0.6214140347
63	0.6210704263
64	0.6206224221
65	0.620166036
66	0.6197933894
67	0.6195421489
68	0.6191970421
69	0.6189265116
70	0.6187620835
71	0.6184590419
72	0.6181673558
73	0.6177802081
74	0.6175611452
75	0.6171679753
76	0.6169066328
77	0.6166348801
78	0.6161043726
79	0.6158465532
80	0.6155576628
81	0.6153510199
82	0.6149869685
83	0.6146304498
84	0.6143653605
85	0.6141580458
86	0.6137849314
87	0.6135382863
88	0.6132419349
89	0.6129429923
90	0.6126378864
91	0.6122246231
92	0.6120387492
93	0.6116819823
94	0.611451871
95	0.6111831514
96	0.6109627421
97	0.6106826082
98	0.6104339977
99	0.6103447129
100	0.6100750512
101	0.609851449
102	0.6094845733
103	0.609205233
104	0.6090733632
105	0.6088258267
106	0.6086515041
107	0.6085301401
108	0.6083194091
109	0.6080608454
110	0.6077698081
111	0.6075296147
112	0.6073308768
113	0.6070327508
114	0.6068211419
115	0.6064262362
116	0.606277896
117	0.6060614209
118	0.6058272842
119	0.6054348917
120	0.6050689284
121	0.6048342602
122	0.6047211464
123	0.6046055919
124	0.6043738849
125	0.6041414932
126	0.6039787455
127	0.6037921822
128	0.6035627129
129	0.6033208545
130	0.6031030801
131	0.6028784604
132	0.6027723982
133	0.6025381123
134	0.6021745737
135	0.6018682397
136	0.6017346629
137	0.6015131835
138	0.6012938001
139	0.6011132039
140	0.6009146085
141	0.6006415895
142	0.6004250845
143	0.6001560292
144	0.5998898393
145	0.5997372072
146	0.5995422889
147	0.5993668735
148	0.5991962695
149	0.5989314866
150	0.5987778253
151	0.5985868808
152	0.5983328488
153	0.5981471177
154	0.5979151257
155	0.5977858826
156	0.5974722943
157	0.5971919062
158	0.5969342463
159	0.5967951427
160	0.5966995695
161	0.5965024166
162	0.5963012331
163	0.5962053401
164	0.5959759711
165	0.5957075477
166	0.5954896277
167	0.5952173645
168	0.594983365
169	0.5947366654
170	0.5945450802
171	0.5943399021
172	0.5941803762
173	0.5939717534
174	0.5935723678
175	0.5933985714
176	0.5931153377
177	0.5929748309
178	0.5928342358
179	0.5925617377
180	0.5924404481
181	0.5922550224
182	0.5920362503
183	0.5917460394
184	0.5916063621
185	0.5914948247
186	0.5913696691
187	0.5912214499
188	0.5910839311
189	0.5907907364
190	0.590612131
191	0.5903807845
192	0.5902265109
193	0.5900463495
194	0.5897826833
195	0.5895365146
196	0.5893939476
197	0.5890695935
198	0.5887987474
199	0.5885552722
200	0.5883923346
201	0.5883024202
202	0.5880682452
203	0.5878435697
204	0.5876455385
205	0.5874772767
206	0.5873154093
207	0.5871729984
208	0.5870031552
209	0.5868839097
210	0.5866307457
211	0.5863724879
212	0.5862375419
213	0.5858916794
214	0.585747561
215	0.5854683793
216	0.5852748835
217	0.5851641183
218	0.5850389196
219	0.5847955403
220	0.5846553348
221	0.5845352289
222	0.5842614593
223	0.5841549272
224	0.5839599517
225	0.5837040824
226	0.5834310462
227	0.5832397659
228	0.5829313755
229	0.582619906
230	0.5824470737
231	0.5823026225
232	0.5821618559
233	0.5819969096
234	0.5817744257
235	0.5816062324
236	0.5814541652
237	0.5811666325
238	0.5807958441
239	0.5805040745
240	0.5802769573
241	0.5801776957
242	0.5799354428
243	0.5797933207
244	0.5794960675
245	0.579150538
246	0.5789040219
247	0.5786382826
248	0.5785102549
249	0.578387071
